2025-06-24 20:49:32,959 - INFO - 🎧 开始监控语音输入...
2025-06-24 20:49:32,959 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:49:32,960 - INFO - 📂 监控文件: /tmp/voice_recognition_output.txt
2025-06-24 20:49:32,969 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b08460>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:50:33,025 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:50:33,041 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b08ca0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:51:33,106 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:51:33,121 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b093f0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:52:33,188 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:52:33,203 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b09b40>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:53:33,270 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:53:33,284 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b08eb0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:54:33,348 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:54:33,363 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b089d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:55:33,429 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:55:33,443 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b083d0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:56:33,512 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:56:33,527 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b0a290>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:57:33,595 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:57:33,615 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b0a9e0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:58:33,682 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:58:33,688 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83aabaf0>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 20:59:33,748 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
2025-06-24 20:59:33,754 - ERROR - 查询视觉模型失败: HTTPConnectionPool(host='localhost', port=8080): Max retries exceeded with url: /v1/chat/completions (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f83b0a020>: Failed to establish a new connection: [Errno 111] Connection refused'))
2025-06-24 21:00:33,814 - INFO - 正在查询视觉模型, 问题: 请详细描述一下这张图片
